"","sample.type","sample.day","sample.mo","sample.yr","sample.date","organic.matter.fraction","trap.no","stream","days.deployed","total.field.wt","field.sub.wet.wt.g","field.sub.prop","pan.wt.g","om.total.dry.wt.g","om.sub.dry.pan.wt.g","om.sub.ash.pan.wt.g","sub.prop.total","sub.prop.afdm","total.afdm.g","areal.AFDM.input.g.m","areal.AFDM.input.g.m.d"
"3780","LINP",28,5,2019,2019-05-28,"MISC",7,"TOWR",34,NA,NA,NA,3.6139,0.2136,3.8275,3.6702,1,0.736423220973784,0.1573,0.3146,0.0092529411764706
"3781","LINP",28,5,2019,2019-05-28,"LEAF",7,"TOWR",34,NA,NA,NA,3.6513,1.4335,5.0848,3.7099,1,0.959121032438088,1.3749,2.7498,0.0808764705882353
"3782","LINP",28,5,2019,2019-05-28,"WOOD",8,"TOWR",34,NA,NA,NA,3.5503,0.1761,3.7264,3.5496,1,1.00397501419648,0.1768,0.3536,0.0104
"3783","LINP",28,5,2019,2019-05-28,"MISC",8,"TOWR",34,NA,NA,NA,3.5318,0.0954,3.6272,3.5375,1,0.940251572327044,0.0897,0.1794,0.00527647058823529
"3784","LINP",28,5,2019,2019-05-28,"LEAF",8,"TOWR",34,NA,NA,NA,3.6519,0.6172,4.2691,3.6795,1,0.955281918340894,0.5896,1.1792,0.0346823529411765
"3785","LINP",28,5,2019,2019-05-28,"WOOD",9,"TOWR",34,NA,NA,NA,3.6263,0.7112,4.3375,3.6636,1,0.947553430821147,0.6739,1.3478,0.0396411764705882
"3786","LINP",28,5,2019,2019-05-28,"MISC",9,"TOWR",34,NA,NA,NA,3.6547,0.7991,4.4538,3.7052,1,0.936803904392442,0.7486,1.4972,0.0440352941176471
"3787","LINP",28,5,2019,2019-05-28,"LEAF",9,"TOWR",34,NA,NA,NA,3.6723,4.15,5.4844,3.7478,0.436650602409639,0.958335632691353,3.97709287566911,7.95418575133823,0.233946639745242
"3788","LINP",28,5,2019,2019-05-28,"WOOD",10,"TOWR",34,NA,NA,NA,3.6459,0.455,4.1009,3.6663,1,0.955164835164835,0.4346,0.8692,0.0255647058823529
"3789","LINP",28,5,2019,2019-05-28,"MISC",10,"TOWR",34,NA,NA,NA,3.6605,1.9866,5.6471,4.0742,1,0.791754756871036,1.5729,3.1458,0.0925235294117647
"3790","LINP",28,5,2019,2019-05-28,"LEAF",10,"TOWR",34,NA,NA,NA,3.611,6.97,5.5679,3.6904,0.280760401721664,0.959425622157494,6.68719658643773,13.3743931728755,0.393364505084573
"3791","LINP",28,5,2019,2019-05-28,"WOOD",11,"TOWR",34,NA,NA,NA,3.6098,0.0659,3.6757,3.6127,1,0.95599393019727,0.0630000000000001,0.126,0.00370588235294118
"3792","LINP",28,5,2019,2019-05-28,"MISC",11,"TOWR",34,NA,NA,NA,3.619,0.2247,3.8437,3.6398,1,0.907432131731197,0.2039,0.4078,0.0119941176470588
"3793","LINP",28,5,2019,2019-05-28,"LEAF",11,"TOWR",34,NA,NA,NA,3.6995,0.3051,4.0046,3.7185,1,0.937725335955424,0.2861,0.5722,0.0168294117647059
"3794","LINP",28,5,2019,2019-05-28,"WOOD",12,"TOWR",34,NA,NA,NA,3.5555,0.134,3.6895,3.5604,0.999999999999999,0.963432835820895,0.1291,0.2582,0.00759411764705882
"3795","LINP",28,5,2019,2019-05-28,"MISC",12,"TOWR",34,NA,NA,NA,3.6026,0.4713,4.0739,3.6251,1,0.95225970719287,0.4488,0.897599999999999,0.0264
"3796","LINP",28,5,2019,2019-05-28,"LEAF",12,"TOWR",34,NA,NA,NA,3.6629,0.2509,3.9138,3.6741,1,0.955360701474691,0.2397,0.4794,0.0141
"3797","LINP",26,6,2019,2019-06-26,"WOOD",1,"WS55",29,NA,NA,NA,3.5262,0.1417,3.6679,3.532,1,0.959068454481297,0.1359,0.271799999999999,0.00937241379310343
"3798","LINP",26,6,2019,2019-06-26,"MISC",1,"WS55",29,NA,NA,NA,3.5622,0.3583,3.9205,3.5961,1,0.905386547585822,0.3244,0.6488,0.0223724137931034
"3799","LINP",26,6,2019,2019-06-26,"LEAF",1,"WS55",29,NA,NA,NA,3.6424,1.8112,5.4536,3.7149,1,0.95997128975265,1.7387,3.4774,0.119910344827586
"3800","LINP",26,6,2019,2019-06-26,"WOOD",2,"WS55",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3801","LINP",26,6,2019,2019-06-26,"MISC",2,"WS55",29,NA,NA,NA,3.5434,0.0878,3.6312,3.5486,1,0.940774487471528,0.0826000000000001,0.1652,0.00569655172413794
"3802","LINP",26,6,2019,2019-06-26,"LEAF",2,"WS55",29,NA,NA,NA,3.541,1.1087,4.6497,3.603,1,0.944078650671958,1.0467,2.0934,0.0721862068965517
"3803","LINP",26,6,2019,2019-06-26,"WOOD",3,"WS55",29,NA,NA,NA,3.5255,1.5148,5.0403,3.6213,1,0.936757327700026,1.419,2.838,0.0978620689655172
"3804","LINP",26,6,2019,2019-06-26,"MISC",3,"WS55",29,NA,NA,NA,3.5257,1.5219,5.0476,3.6445,1,0.92193968066233,1.4031,2.8062,0.0967655172413793
"3805","LINP",26,6,2019,2019-06-26,"LEAF",3,"WS55",29,NA,NA,NA,3.5482,2.2685,5.8167,3.6381,1,0.960370288737051,2.1786,4.3572,0.150248275862069
"3806","LINP",26,6,2019,2019-06-26,"WOOD",4,"WS55",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3807","LINP",26,6,2019,2019-06-26,"MISC",4,"WS55",29,NA,NA,NA,3.6108,1.1827,4.7935,3.7312,1,0.89819903610383,1.0623,2.1246,0.0732620689655172
"3808","LINP",26,6,2019,2019-06-26,"LEAF",4,"WS55",29,NA,NA,NA,3.5379,0.3058,3.8437,3.5514,1,0.955853499018966,0.2923,0.5846,0.0201586206896552
"3809","LINP",26,6,2019,2019-06-26,"WOOD",5,"WS55",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3810","LINP",26,6,2019,2019-06-26,"MISC",5,"WS55",29,NA,NA,NA,3.5558,0.1393,3.6951,3.5781,1,0.839913854989232,0.117,0.234,0.00806896551724138
"3811","LINP",26,6,2019,2019-06-26,"LEAF",5,"WS55",29,NA,NA,NA,3.6637,1.7457,5.4094,3.7739,1,0.93687346050295,1.6355,3.271,0.112793103448276
"3812","LINP",26,6,2019,2019-06-26,"WOOD",6,"WS55",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3813","LINP",26,6,2019,2019-06-26,"MISC",6,"WS55",29,NA,NA,NA,3.6458,0.0057,3.6515,3.6461,1.00000000000001,0.947368421052599,0.00539999999999981,0.0107999999999996,0.000372413793103435
"3814","LINP",26,6,2019,2019-06-26,"LEAF",6,"WS55",29,NA,NA,NA,3.5069,0.3551,3.862,3.5204,1,0.961982540129541,0.3416,0.6832,0.0235586206896552
"3815","LINP",26,6,2019,2019-06-26,"WOOD",7,"WS55",29,NA,NA,NA,3.617,0.1285,3.7455,3.6241,0.999999999999999,0.944747081712063,0.1214,0.2428,0.00837241379310346
"3816","LINP",26,6,2019,2019-06-26,"MISC",7,"WS55",29,NA,NA,NA,3.5231,0.0751,3.5982,3.5321,0.999999999999999,0.880159786950734,0.0661000000000001,0.1322,0.00455862068965518
"3817","LINP",26,6,2019,2019-06-26,"LEAF",7,"WS55",29,NA,NA,NA,3.5245,0.4219,3.9464,3.5512,1,0.93671486134155,0.3952,0.7904,0.0272551724137931
"3818","LINP",26,6,2019,2019-06-26,"WOOD",8,"WS55",29,NA,NA,NA,3.5311,0.1497,3.6808,3.5347,1,0.975951903807615,0.1461,0.2922,0.0100758620689655
"3819","LINP",26,6,2019,2019-06-26,"MISC",8,"WS55",29,NA,NA,NA,3.5228,0.7181,4.2409,3.5591,1,0.949449937334633,0.6818,1.3636,0.0470206896551724
"3820","LINP",26,6,2019,2019-06-26,"LEAF",8,"WS55",29,NA,NA,NA,3.5377,0.078,3.6157,3.541,0.999999999999998,0.957692307692309,0.0747000000000001,0.1494,0.00515172413793104
"3821","LINP",26,6,2019,2019-06-26,"WOOD",9,"WS55",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3822","LINP",26,6,2019,2019-06-26,"MISC",9,"WS55",29,NA,NA,NA,3.5489,0.9399,4.4888,3.6497,1,0.892754548356208,0.8391,1.6782,0.0578689655172414
"3823","LINP",26,6,2019,2019-06-26,"LEAF",9,"WS55",29,NA,NA,NA,3.6239,4.62,5.3431,3.6984,0.372121212121212,0.956665891112145,4.41979641693811,8.83959283387622,0.304813545995732
"3824","LINP",26,6,2019,2019-06-26,"WOOD",10,"WS55",29,NA,NA,NA,3.5339,0.8003,4.3342,3.5804,1,0.941896788704236,0.7538,1.5076,0.0519862068965517
"3825","LINP",26,6,2019,2019-06-26,"MISC",10,"WS55",29,NA,NA,NA,3.6699,0.1313,3.8012,3.6849,1,0.885757806549888,0.1163,0.232600000000001,0.00802068965517243
"3826","LINP",26,6,2019,2019-06-26,"LEAF",10,"WS55",29,NA,NA,NA,3.5483,1.9802,5.5285,3.6604,1,0.943389556610443,1.8681,3.7362,0.128834482758621
"3827","LINP",26,6,2019,2019-06-26,"WOOD",11,"WS55",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3828","LINP",26,6,2019,2019-06-26,"MISC",11,"WS55",29,NA,NA,NA,3.6722,0.6327,4.3049,3.6981,1,0.95906432748538,0.6068,1.2136,0.041848275862069
"3829","LINP",26,6,2019,2019-06-26,"LEAF",11,"WS55",29,NA,NA,NA,3.6356,0.2466,3.8822,3.6478,1,0.950527169505272,0.2344,0.4688,0.0161655172413793
"3830","LINP",26,6,2019,2019-06-26,"WOOD",12,"WS55",29,NA,NA,NA,3.5677,0.482,4.0497,3.5819,1,0.970539419087136,0.4678,0.9356,0.0322620689655172
"3831","LINP",26,6,2019,2019-06-26,"MISC",12,"WS55",29,NA,NA,NA,3.5454,0.8452,4.3906,3.5899,1,0.947349739706578,0.8007,1.6014,0.0552206896551724
"3832","LINP",26,6,2019,2019-06-26,"LEAF",12,"WS55",29,NA,NA,NA,3.6975,2.0994,5.7969,3.7993,1,0.951509955225302,1.9976,3.9952,0.137765517241379
"3833","LINP",26,6,2019,2019-06-26,"WOOD",1,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3834","LINP",26,6,2019,2019-06-26,"MISC",1,"TOWR",29,NA,NA,NA,3.5974,0.225,3.8224,3.6165,1,0.915111111111112,0.2059,0.4118,0.0142
"3835","LINP",26,6,2019,2019-06-26,"LEAF",1,"TOWR",29,NA,NA,NA,3.6313,0.0109,3.6422,3.6318,0.999999999999992,0.954128440366957,0.0103999999999998,0.0207999999999997,0.000717241379310333
"3836","LINP",26,6,2019,2019-06-26,"WOOD",2,"TOWR",29,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"3837","LINP",26,6,2019,2019-06-26,"MISC",2,"TOWR",29,NA,NA,NA,3.5298,0.3838,3.9136,3.5889,1,0.846013548723293,0.3247,0.649399999999999,0.0223931034482758
"3838","LINP",26,6,2019,2019-06-26,"LEAF",2,"TOWR",29,NA,NA,NA,3.6204,0.665,4.2854,3.6657,1,0.93187969924812,0.6197,1.2394,0.0427379310344827
"3839","LINP",26,6,2019,2019-06-26,"WOOD",3,"TOWR",29,NA,NA,NA,3.5522,0.2505,3.8027,3.5694,1,0.931337325349302,0.2333,0.4666,0.0160896551724138
"3840","LINP",26,6,2019,2019-06-26,"MISC",3,"TOWR",29,NA,NA,NA,3.5211,0.0475,3.5686,3.5288,0.999999999999997,0.837894736842109,0.0398000000000002,0.0796000000000003,0.00274482758620691
"3841","LINP",26,6,2019,2019-06-26,"LEAF",3,"TOWR",29,NA,NA,NA,3.6144,0.0591,3.6735,3.6175,1.00000000000001,0.947546531302871,0.0559999999999997,0.111999999999999,0.00386206896551722
"3842","LINP",26,6,2019,2019-06-26,"WOOD",4,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3843","LINP",26,6,2019,2019-06-26,"MISC",4,"TOWR",29,NA,NA,NA,3.5512,0.1496,3.7008,3.5604,1,0.938502673796792,0.1404,0.2808,0.00968275862068966
"3844","LINP",26,6,2019,2019-06-26,"LEAF",4,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3845","LINP",26,6,2019,2019-06-26,"WOOD",5,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3846","LINP",26,6,2019,2019-06-26,"MISC",5,"TOWR",29,NA,NA,NA,3.5401,0.5745,4.1146,3.5598,1,0.965709312445604,0.5548,1.1096,0.0382620689655172
"3847","LINP",26,6,2019,2019-06-26,"LEAF",5,"TOWR",29,NA,NA,NA,3.5237,0.2282,3.7519,3.5327,1,0.960560911481155,0.2192,0.438399999999999,0.0151172413793103
"3848","LINP",26,6,2019,2019-06-26,"WOOD",6,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3849","LINP",26,6,2019,2019-06-26,"MISC",6,"TOWR",29,NA,NA,NA,3.6428,0.0408,3.6836,3.6461,1.00000000000001,0.919117647058817,0.0374999999999997,0.0749999999999995,0.00258620689655171
"3850","LINP",26,6,2019,2019-06-26,"LEAF",6,"TOWR",29,NA,NA,NA,3.5514,0.0432,3.5946,3.5536,0.999999999999993,0.949074074074079,0.0410000000000002,0.0820000000000005,0.00282758620689657
"3851","LINP",26,6,2019,2019-06-26,"WOOD",7,"TOWR",29,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"3852","LINP",26,6,2019,2019-06-26,"MISC",7,"TOWR",29,NA,NA,NA,3.5261,0.3357,3.8618,3.5476,1,0.935954721477509,0.3142,0.6284,0.0216689655172414
"3853","LINP",26,6,2019,2019-06-26,"LEAF",7,"TOWR",29,NA,NA,NA,3.6531,0.2684,3.9215,3.6649,1,0.956035767511177,0.2566,0.5132,0.0176965517241379
"3854","LINP",26,6,2019,2019-06-26,"WOOD",8,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3855","LINP",26,6,2019,2019-06-26,"MISC",8,"TOWR",29,NA,NA,NA,3.5292,0.3047,3.8339,3.5446,1,0.949458483754512,0.2893,0.5786,0.019951724137931
"3856","LINP",26,6,2019,2019-06-26,"LEAF",8,"TOWR",29,NA,NA,NA,3.547,0.4688,4.0158,3.5757,0.999999999999999,0.938779863481229,0.4401,0.880200000000001,0.0303517241379311
"3857","LINP",26,6,2019,2019-06-26,"WOOD",9,"TOWR",29,NA,NA,NA,3.5782,0.0403,3.6185,3.5794,1.00000000000001,0.970223325062027,0.0390999999999997,0.0781999999999994,0.00269655172413791
"3858","LINP",26,6,2019,2019-06-26,"MISC",9,"TOWR",29,NA,NA,NA,3.6402,1.2421,4.8823,3.6885,1,0.9611142420095,1.1938,2.3876,0.0823310344827586
"3859","LINP",26,6,2019,2019-06-26,"LEAF",9,"TOWR",29,NA,NA,NA,3.5654,2.7579,6.3233,3.6938,1,0.953442836941151,2.6295,5.259,0.181344827586207
"3860","LINP",26,6,2019,2019-06-26,"WOOD",10,"TOWR",29,NA,NA,NA,3.6729,1.108,4.7809,3.709,1,0.967418772563177,1.0719,2.1438,0.0739241379310345
"3861","LINP",26,6,2019,2019-06-26,"MISC",10,"TOWR",29,NA,NA,NA,3.5428,1.5128,5.0556,3.6287,1,0.943217874140667,1.4269,2.8538,0.0984068965517242
"3862","LINP",26,6,2019,2019-06-26,"LEAF",10,"TOWR",29,NA,NA,NA,3.5337,7.63,10.9209,3.8184,0.968178243774574,0.961460363872644,7.33594257634828,14.6718851526966,0.505927074230916
"3863","LINP",26,6,2019,2019-06-26,"WOOD",11,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3864","LINP",26,6,2019,2019-06-26,"MISC",11,"TOWR",29,NA,NA,NA,3.6485,0.3874,4.0359,3.6694,1,0.9460505937016,0.3665,0.733,0.0252758620689655
"3865","LINP",26,6,2019,2019-06-26,"LEAF",11,"TOWR",29,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3866","LINP",26,6,2019,2019-06-26,"WOOD",12,"TOWR",29,NA,NA,NA,3.5125,0.6569,4.1694,3.5212,1,0.986755975034252,0.6482,1.2964,0.0447034482758621
"3867","LINP",26,6,2019,2019-06-26,"MISC",12,"TOWR",29,NA,NA,NA,3.5345,0.074,3.6085,3.5364,0.999999999999998,0.974324324324324,0.0721,0.1442,0.00497241379310345
"3868","LINP",26,6,2019,2019-06-26,"LEAF",12,"TOWR",29,NA,NA,NA,3.5456,0.2604,3.806,3.5546,1,0.965437788018432,0.2514,0.502799999999999,0.0173379310344827
"3869","LINP",23,7,2019,2019-07-23,"WOOD",1,"WS55",27,NA,NA,NA,3.5449,0.639,4.1839,3.5801,1,0.94491392801252,0.6038,1.2076,0.044725925925926
"3870","LINP",23,7,2019,2019-07-23,"MISC",1,"WS55",27,NA,NA,NA,3.5245,0.188,3.7125,3.5455,0.999999999999999,0.888297872340426,0.167,0.334,0.0123703703703704
"3871","LINP",23,7,2019,2019-07-23,"LEAF",1,"WS55",27,NA,NA,NA,3.6622,1.7632,5.4254,3.7306,1,0.961206896551724,1.6948,3.3896,0.125540740740741
"3872","LINP",23,7,2019,2019-07-23,"WOOD",2,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3873","LINP",23,7,2019,2019-07-23,"MISC",2,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3874","LINP",23,7,2019,2019-07-23,"LEAF",2,"WS55",27,NA,NA,NA,3.5433,0.7245,4.2678,3.5877,1,0.93871635610766,0.6801,1.3602,0.0503777777777778
"3875","LINP",23,7,2019,2019-07-23,"WOOD",3,"WS55",27,NA,NA,NA,3.6337,0.8933,4.527,3.684,1,0.943691928803314,0.843,1.686,0.0624444444444444
"3876","LINP",23,7,2019,2019-07-23,"MISC",3,"WS55",27,NA,NA,NA,3.6347,2.0257,5.6604,3.7227,1,0.956558226785802,1.9377,3.8754,0.143533333333333
"3877","LINP",23,7,2019,2019-07-23,"LEAF",3,"WS55",27,NA,NA,NA,3.5141,1.7933,5.3074,3.6,1,0.952099481403,1.7074,3.4148,0.126474074074074
"3878","LINP",23,7,2019,2019-07-23,"WOOD",4,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3879","LINP",23,7,2019,2019-07-23,"MISC",4,"WS55",27,NA,NA,NA,3.6471,0.5245,4.1716,3.6946,1,0.909437559580553,0.477,0.954,0.0353333333333333
"3880","LINP",23,7,2019,2019-07-23,"LEAF",4,"WS55",27,NA,NA,NA,3.5479,1.3591,4.907,3.6048,1,0.958134059303951,1.3022,2.6044,0.0964592592592592
"3881","LINP",23,7,2019,2019-07-23,"WOOD",5,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3882","LINP",23,7,2019,2019-07-23,"MISC",5,"WS55",27,NA,NA,NA,3.5193,0.405,3.9243,3.5822,1,0.844691358024692,0.3421,0.6842,0.0253407407407407
"3883","LINP",23,7,2019,2019-07-23,"LEAF",5,"WS55",27,NA,NA,NA,3.5215,0.459,3.9805,3.5518,1,0.933986928104575,0.4287,0.8574,0.0317555555555556
"3884","LINP",23,7,2019,2019-07-23,"WOOD",6,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3885","LINP",23,7,2019,2019-07-23,"MISC",6,"WS55",27,NA,NA,NA,3.5396,0.0393,3.5789,3.5444,0.999999999999997,0.877862595419849,0.0345000000000001,0.0690000000000001,0.00255555555555556
"3886","LINP",23,7,2019,2019-07-23,"LEAF",6,"WS55",27,NA,NA,NA,3.5548,0.5785,4.1333,3.5764,1,0.96266205704408,0.5569,1.1138,0.0412518518518519
"3887","LINP",23,7,2019,2019-07-23,"WOOD",7,"WS55",27,NA,NA,NA,3.5294,0.093,3.6224,3.5316,1,0.976344086021503,0.0907999999999998,0.1816,0.00672592592592591
"3888","LINP",23,7,2019,2019-07-23,"MISC",7,"WS55",27,NA,NA,NA,3.5289,0.5029,4.0318,3.5828,0.999999999999999,0.892821634519785,0.449,0.898,0.0332592592592593
"3889","LINP",23,7,2019,2019-07-23,"LEAF",7,"WS55",27,NA,NA,NA,3.5252,0.9704,4.4956,3.5932,1,0.929925803792251,0.9024,1.8048,0.0668444444444444
"3890","LINP",23,7,2019,2019-07-23,"WOOD",8,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3891","LINP",23,7,2019,2019-07-23,"MISC",8,"WS55",27,NA,NA,NA,3.6428,0.188,3.8308,3.6539,1,0.940957446808509,0.1769,0.353799999999999,0.0131037037037037
"3892","LINP",23,7,2019,2019-07-23,"LEAF",8,"WS55",27,NA,NA,NA,3.6699,3.4769,7.1468,3.714,1,0.987316287497483,3.4328,6.8656,0.254281481481481
"3893","LINP",23,7,2019,2019-07-23,"WOOD",9,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3894","LINP",23,7,2019,2019-07-23,"MISC",9,"WS55",27,NA,NA,NA,3.6818,1.9255,5.6073,3.8006,1,0.938301739807842,1.8067,3.6134,0.13382962962963
"3895","LINP",23,7,2019,2019-07-23,"LEAF",9,"WS55",27,NA,NA,NA,3.5258,3.2847,6.8105,3.8359,1,0.905592595975279,2.9746,5.9492,0.220340740740741
"3896","LINP",23,7,2019,2019-07-23,"WOOD",10,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3897","LINP",23,7,2019,2019-07-23,"MISC",10,"WS55",27,NA,NA,NA,3.6022,0.1802,3.7824,3.5551,1,1.26137624861265,0.2273,0.4546,0.016837037037037
"3898","LINP",23,7,2019,2019-07-23,"LEAF",10,"WS55",27,NA,NA,NA,3.6493,0.6881,4.3374,3.6766,0.999999999999999,0.960325534079349,0.6608,1.3216,0.0489481481481482
"3899","LINP",23,7,2019,2019-07-23,"WOOD",11,"WS55",27,NA,NA,NA,3.6191,0.0392,3.6583,3.622,1,0.926020408163268,0.0363000000000001,0.0726000000000002,0.0026888888888889
"3900","LINP",23,7,2019,2019-07-23,"MISC",11,"WS55",27,NA,NA,NA,3.616,1.0487,4.6647,3.7431,1,0.878802326690188,0.9216,1.8432,0.0682666666666667
"3901","LINP",23,7,2019,2019-07-23,"LEAF",11,"WS55",27,NA,NA,NA,3.5232,0.3824,3.9056,3.5412,1,0.952928870292888,0.3644,0.7288,0.0269925925925926
"3902","LINP",23,7,2019,2019-07-23,"WOOD",12,"WS55",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3903","LINP",23,7,2019,2019-07-23,"MISC",12,"WS55",27,NA,NA,NA,3.5289,0.4712,4.0001,3.5665,0.999999999999999,0.920203735144313,0.4336,0.8672,0.0321185185185185
"3904","LINP",23,7,2019,2019-07-23,"LEAF",12,"WS55",27,NA,NA,NA,3.6325,2.3385,5.971,3.7573,1,0.946632456703015,2.2137,4.4274,0.163977777777778
"3905","LINP",23,7,2019,2019-07-23,"WOOD",1,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3906","LINP",23,7,2019,2019-07-23,"MISC",1,"TOWR",27,NA,NA,NA,3.5355,0.236,3.7715,3.6125,1,0.673728813559322,0.159,0.318,0.0117777777777778
"3907","LINP",23,7,2019,2019-07-23,"LEAF",1,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3908","LINP",23,7,2019,2019-07-23,"WOOD",2,"TOWR",27,NA,NA,NA,3.5255,0.3644,3.8899,3.5612,1,0.902030735455544,0.3287,0.6574,0.0243481481481482
"3909","LINP",23,7,2019,2019-07-23,"MISC",2,"TOWR",27,NA,NA,NA,3.5347,0.2727,3.8074,3.5811,1,0.829849651631829,0.2263,0.4526,0.0167629629629629
"3910","LINP",23,7,2019,2019-07-23,"LEAF",2,"TOWR",27,NA,NA,NA,3.5353,0.0454,3.5807,3.5374,1.00000000000001,0.953744493392071,0.0433,0.0866000000000001,0.00320740740740741
"3911","LINP",23,7,2019,2019-07-23,"WOOD",3,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3912","LINP",23,7,2019,2019-07-23,"MISC",3,"TOWR",27,NA,NA,NA,3.5325,0.0797,3.6122,3.5378,0.999999999999999,0.933500627352577,0.0744000000000003,0.148800000000001,0.00551111111111114
"3913","LINP",23,7,2019,2019-07-23,"LEAF",3,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3914","LINP",23,7,2019,2019-07-23,"WOOD",4,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3915","LINP",23,7,2019,2019-07-23,"MISC",4,"TOWR",27,NA,NA,NA,3.6528,0.1484,3.8012,3.6599,1,0.952156334231807,0.1413,0.2826,0.0104666666666667
"3916","LINP",23,7,2019,2019-07-23,"LEAF",4,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3917","LINP",23,7,2019,2019-07-23,"WOOD",5,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3918","LINP",23,7,2019,2019-07-23,"MISC",5,"TOWR",27,NA,NA,NA,3.557,0.2008,3.7578,3.5757,1,0.90687250996016,0.1821,0.3642,0.0134888888888889
"3919","LINP",23,7,2019,2019-07-23,"LEAF",5,"TOWR",27,NA,NA,NA,3.541,0.1009,3.6419,3.5497,1,0.913776015857283,0.0921999999999999,0.1844,0.00682962962962962
"3920","LINP",23,7,2019,2019-07-23,"WOOD",6,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3921","LINP",23,7,2019,2019-07-23,"MISC",6,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3922","LINP",23,7,2019,2019-07-23,"LEAF",6,"TOWR",27,NA,NA,NA,3.5353,0.0803,3.6156,3.5384,1,0.961394769613944,0.0771999999999997,0.154399999999999,0.0057185185185185
"3923","LINP",23,7,2019,2019-07-23,"WOOD",7,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3924","LINP",23,7,2019,2019-07-23,"MISC",7,"TOWR",27,NA,NA,NA,3.6477,0.3876,4.0353,3.6707,1,0.940660474716202,0.3646,0.7292,0.0270074074074074
"3925","LINP",23,7,2019,2019-07-23,"LEAF",7,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3926","LINP",23,7,2019,2019-07-23,"WOOD",8,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3927","LINP",23,7,2019,2019-07-23,"MISC",8,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3928","LINP",23,7,2019,2019-07-23,"LEAF",8,"TOWR",27,NA,NA,NA,3.5165,1.8872,5.4037,3.6033,1,0.954005934718101,1.8004,3.6008,0.133362962962963
"3929","LINP",23,7,2019,2019-07-23,"WOOD",9,"TOWR",27,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0
"3930","LINP",23,7,2019,2019-07-23,"MISC",9,"TOWR",27,NA,NA,NA,3.6275,0.347,3.9745,3.6502,1,0.934582132564842,0.3243,0.6486,0.0240222222222222
"3931","LINP",23,7,2019,2019-07-23,"LEAF",9,"TOWR",27,NA,NA,NA,3.5199,1.7739,5.2938,3.6007,1,0.954450645470432,1.6931,3.3862,0.125414814814815
"3932","LINP",23,7,2019,2019-07-23,"WOOD",10,"TOWR",27,NA,NA,NA,3.533,3.9756,7.5086,3.7767,1,0.938701076567059,3.7319,7.4638,0.276437037037037
"3933","LINP",23,7,2019,2019-07-23,"MISC",10,"TOWR",27,NA,NA,NA,3.5166,0.839,4.3556,3.6097,1,0.889034564958283,0.7459,1.4918,0.0552518518518518
